telaio
"0,0,0;0.4,0.4,0.4,0.4;3,3,3;3,3"
"0,3.4,0;0.4,0.4,0.4,0.4;3,3,3;3,3"
"0,6.8,0;0.4,0.4,0.4,0.4;3,3,3;3,3"
"0,10.2,0;0.4,0.4,0.4,0.4;3,3,3;3,3"
"0,0,6.8;0.4,0.4,0.4,0.4;3,3,3;3,1.5"
"0,3.4,6.8;0.4,0.4,0.4,0.4;3,3,3;3,1.5"
"0,6.8,6.8;0.4,0.4,0.4,0.4;3,3,3;3,1.5"
"0,10.2,6.8;0.4,0.4,0.4,0.4;3,3,3;3,1.5"
"0,0.4,3;0.4,3,0,0;3,3,3;0.4"
"0,0.4,6.4;0.4,3,0,0;3,3,3;0.4"
"0,0.4,9.8;0.4,3,0,0;3,3,3;0.4"
"0,0.4,11.7;0.4,3,0,0;3,3,3;0.4"
"0,3.8,3;0.4,3,0,0;3,3,3;0.4"
"0,3.8,6.4;0.4,3,0,0;3,3,3;0.4"
"0,3.8,9.8;0.4,3,0,0;3,3,3;0.4"
"0,3.8,11.7;0.4,3,0,0;3,3,3;0.4"
"0,7.2,3;0.4,3,0,0;3,3,3;0.4"
"0,7.2,6.4;0.4,3,0,0;3,3,3;0.4"
"0,7.2,9.8;0.4,3,0,0;3,3,3;0.4"
"0,7.2,11.7;0.4,3,0,0;3,3,3;0.4"
